date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:13	35777/35777	---MCZ	200	added ('OK')	text/css	etag:W/%2257636c7a-8bc1%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/css/settings.css	wp1.themexlab.com/html2/edinburgh/assets/revolution/css/settings.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:13	102115/102115	---MCZ	200	added ('OK')	text/css	etag:W/%2256598268-18ee3%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/css/layers.css	wp1.themexlab.com/html2/edinburgh/assets/revolution/css/layers.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:13	59567/59567	---MCZ	200	added ('OK')	text/css	etag:W/%22562ef9fc-e8af%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/css/navigation.css	wp1.themexlab.com/html2/edinburgh/assets/revolution/css/navigation.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:13	35255/35255	---MCZ	200	added ('OK')	text/css	etag:W/%22574297d0-89b7%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery-ui-1.11.4/jquery-ui.css	wp1.themexlab.com/html2/edinburgh/assets/jquery-ui-1.11.4/jquery-ui.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:14	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%2253acb20e-1206%22	http://wp1.themexlab.com/html2/edinburgh/assets/owl.carousel-2/assets/owl.carousel.css	wp1.themexlab.com/html2/edinburgh/assets/owl.carousel-2/assets/owl.carousel.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:14	872/872	---M--	200	added ('OK')	text/css	etag:%2257c5db96-368%22	http://wp1.themexlab.com/html2/edinburgh/assets/icomoon/style.css	wp1.themexlab.com/html2/edinburgh/assets/icomoon/style.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:14	73178/73178	---MCZ	200	added ('OK')	text/css	etag:W/%22563656d0-11dda%22	http://wp1.themexlab.com/html2/edinburgh/assets/animate.css	wp1.themexlab.com/html2/edinburgh/assets/animate.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:15	132601/132601	---MCZ	200	added ('OK')	text/css	etag:W/%2254fd3238-205f9%22	http://wp1.themexlab.com/html2/edinburgh/assets/hover.css	wp1.themexlab.com/html2/edinburgh/assets/hover.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:15	4895/4895	---MCZ	200	added ('OK')	text/css	etag:W/%2251baa63c-131f%22	http://wp1.themexlab.com/html2/edinburgh/assets/fancyapps-fancyBox/source/jquery.fancybox.css	wp1.themexlab.com/html2/edinburgh/assets/fancyapps-fancyBox/source/jquery.fancybox.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:15	0/0	---M--	200	added ('OK')	text/css	etag:%225732919e-0%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery.bxslider/jquery.bxslider.css	wp1.themexlab.com/html2/edinburgh/assets/jquery.bxslider/jquery.bxslider.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:16	1247/1247	---MCZ	200	added ('OK')	text/css	etag:W/%2257b3722e-4df%22	http://wp1.themexlab.com/html2/edinburgh/assets/flaticon/flaticon.css	wp1.themexlab.com/html2/edinburgh/assets/flaticon/flaticon.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:16	12990/12990	---MCZ	200	added ('OK')	text/css	etag:W/%22578d6ee4-32be%22	http://wp1.themexlab.com/html2/edinburgh/css/masterslider/style/masterslider.css	wp1.themexlab.com/html2/edinburgh/css/masterslider/style/masterslider.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:16	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22578d6ee4-1010%22	http://wp1.themexlab.com/html2/edinburgh/css/masterslider/skins/default/style.css	wp1.themexlab.com/html2/edinburgh/css/masterslider/skins/default/style.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:17	3071/3071	---MCZ	200	added ('OK')	text/css	etag:W/%22578d6ee4-bff%22	http://wp1.themexlab.com/html2/edinburgh/css/masterslider/style/ms-vertical.css	wp1.themexlab.com/html2/edinburgh/css/masterslider/style/ms-vertical.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:17	90550/90550	---MCZ	200	added ('OK')	text/css	etag:W/%2257f2ba0a-161b6%22	http://wp1.themexlab.com/html2/edinburgh/css/style.css	wp1.themexlab.com/html2/edinburgh/css/style.css	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:18	2892/2892	---M--	200	added ('OK')	image/gif	etag:%2257c653ee-b4c%22	http://wp1.themexlab.com/html2/edinburgh/images/icons/preloader.gif	wp1.themexlab.com/html2/edinburgh/images/icons/preloader.gif	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:19	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:54:18%20GMT	http://wp1.themexlab.com/html2/edinburgh/images/overly/about.png	wp1.themexlab.com/html2/edinburgh/images/overly/about.png	(from http://wp1.themexlab.com/html2/edinburgh/css/common-style.css)
14:24:25	28853/28853	---M--	200	added ('OK')	image/jpeg	etag:%2257acacfe-70b5%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/7.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/7.jpg	(from http://wp1.themexlab.com/html2/edinburgh/index-2.html)
14:24:26	1824/1824	---M--	200	added ('OK')	image/png	etag:%2257b681c8-720%22	http://wp1.themexlab.com/html2/edinburgh/images/icons/2.png	wp1.themexlab.com/html2/edinburgh/images/icons/2.png	(from http://wp1.themexlab.com/html2/edinburgh/index-2.html)
